小区,区域,面积,总价,单价,户型,楼层,总楼层,朝向,装修,建成年代,关注人数,带看次数
小区73,天心区,103.4,107.1,10362.0,2室2厅,32,24,东,简装,2012,37,8.0
小区8,芙蓉区,129.4,175.0,13523.0,2室2厅,18,19,南,简装,2022,39,10.0
小区60,天心区,76.1,82.5,10844.0,2室1厅,31,28,北,简装,2006,41,
小区58,天心区,97.9,111.0,11342.0,3室2厅,10,30,西,精装,2008,32,
小区18,芙蓉区,136.2,159.1,11681.0,3室2厅,13,26,西南,简装,2013,47,11.0
小区77,望城区,69.7,59.5,8531.0,2室1厅,25,20,南,精装,2018,41,8.0
小区11,开福区,101.1,93.9,9287.0,2室2厅,20,20,西南,简装,2014,45,
小区6,长沙县,91.9,70.6,7679.0,4室2厅,11,19,,,2019,55,10.0
小区12,天心区,54.1,78.0,14411.0,2室2厅,16,28,西南,简装,2019,37,4.0
小区53,岳麓区,100.4,97.9,9750.0,4室2厅,24,20,东,精装,2006,32,10.0
小区66,长沙县,143.8,110.1,7655.0,3室2厅,12,24,东南,精装,2017,39,8.0
小区68,雨花区,183.1,156.0,8520.0,2室1厅,23,29,东南,精装,2012,32,11.0
小区52,岳麓区,54.0,55.7,10311.0,2室2厅,25,19,西南,精装,2003,43,5.0
小区43,岳麓区,137.2,135.0,9838.0,4室2厅,21,23,南,精装,2012,51,3.0
小区51,望城区,143.6,108.8,7576.0,1室1厅,11,26,东南,简装,2018,33,6.0
小区41,岳麓区,147.2,161.7,10983.0,3室2厅,1,10,,精装,2020,36,8.0
小区29,开福区,89.4,67.1,7503.0,2室2厅,31,23,东,毛坯,2008,39,5.0
小区48,开福区,115.7,120.5,10419.0,2室1厅,20,30,西南,简装,2020,40,6.0
小区29,开福区,83.3,83.3,10000.0,3室2厅,14,21,东南,简装,2007,34,7.0
小区6,开福区,124.3,107.2,8626.0,3室2厅,31,20,西,毛坯,2014,39,8.0
小区24,长沙县,146.7,104.2,7106.0,3室2厅,25,29,西,精装,2021,37,
小区15,天心区,96.0,94.7,9860.0,2室1厅,6,9,西南,精装,2004,36,11.0
小区34,长沙县,112.5,85.0,7554.0,4室2厅,19,22,西,精装,2022,32,
小区5,天心区,134.8,159.9,11864.0,3室2厅,19,20,北,精装,2013,33,5.0
小区64,芙蓉区,129.8,128.1,9867.0,2室2厅,26,26,东,毛坯,2008,39,10.0
小区2,岳麓区,81.6,85.0,10419.0,3室1厅,27,19,西南,简装,2012,39,
小区53,天心区,152.7,129.9,8508.0,3室2厅,15,33,西,简装,2006,39,7.0
小区18,雨花区,121.7,133.3,10954.0,2室2厅,28,30,东南,简装,2016,43,9.0
小区64,天心区,110.1,123.2,11192.0,2室1厅,23,20,北,精装,2012,46,
小区43,天心区,106.1,120.2,11328.0,3室1厅,12,29,西南,毛坯,2023,35,9.0
小区5,长沙县,129.2,71.5,5535.0,2室2厅,7,22,北,简装,2009,37,
小区5,望城区,140.8,94.5,6713.0,3室2厅,15,30,北,简装,2007,49,7.0
小区77,开福区,60.4,67.8,11230.0,3室2厅,5,11,南,,2023,38,9.0
小区24,长沙县,74.4,43.5,5845.0,2室2厅,17,18,西,毛坯,2006,45,6.0
小区31,岳麓区,44.5,40.1,9005.0,3室2厅,20,19,东,简装,2007,41,11.0
小区68,芙蓉区,120.4,117.8,9780.0,3室2厅,11,31,西南,毛坯,2017,41,
小区7,望城区,118.4,96.8,8175.0,3室2厅,9,20,西南,精装,2021,45,9.0
小区60,芙蓉区,92.7,154.1,16626.0,2室1厅,2,8,东,精装,2023,37,9.0
小区78,岳麓区,66.5,71.4,10737.0,3室2厅,32,29,,简装,2012,47,10.0
小区54,开福区,150.8,148.6,9855.0,3室2厅,10,25,东南,精装,2009,31,3.0
小区62,雨花区,160.9,180.1,11193.0,3室2厅,7,27,南,精装,2015,41,12.0
小区76,芙蓉区,160.2,212.5,13265.0,1室1厅,30,27,东,简装,2020,40,5.0
小区2,天心区,106.7,140.8,13195.0,2室1厅,7,29,西南,精装,2022,36,8.0
小区10,芙蓉区,109.9,101.6,9243.0,2室1厅,30,18,东,精装,2005,46,2.0
小区78,芙蓉区,109.8,120.7,10993.0,2室2厅,12,26,西,,2013,53,7.0
小区22,天心区,100.2,133.6,13330.0,3室1厅,11,22,西,精装,2019,40,9.0
小区37,雨花区,62.0,64.8,10450.0,3室2厅,14,22,西南,毛坯,2018,33,10.0
小区47,开福区,83.8,77.8,9285.0,2室1厅,32,21,东,精装,2006,42,2.0
小区2,岳麓区,133.5,133.2,9980.0,3室2厅,5,8,,简装,2020,44,6.0
小区16,雨花区,104.9,103.2,9842.0,3室2厅,30,20,南,简装,2011,37,6.0
小区31,岳麓区,88.3,105.5,11952.0,4室2厅,16,31,北,毛坯,2020,34,8.0
小区30,长沙县,96.2,69.1,7180.0,2室1厅,10,21,西南,,2017,45,11.0
小区19,天心区,166.2,153.4,9230.0,3室2厅,26,33,东南,毛坯,2012,39,2.0
小区3,雨花区,157.0,136.5,8693.0,3室2厅,8,26,西南,精装,2005,33,5.0
小区15,天心区,143.6,150.9,10507.0,2室1厅,13,21,北,,2018,39,6.0
小区29,开福区,111.2,99.1,8913.0,4室2厅,30,21,西南,毛坯,2015,37,11.0
小区52,开福区,62.6,53.6,8567.0,2室2厅,8,20,西南,毛坯,2005,39,5.0
小区28,长沙县,111.8,70.5,6309.0,2室2厅,12,30,东,精装,2014,42,10.0
小区12,岳麓区,93.7,95.5,10195.0,2室1厅,3,9,东南,精装,2003,58,5.0
小区5,芙蓉区,126.7,138.8,10953.0,3室2厅,6,8,北,精装,2007,36,8.0
小区4,岳麓区,140.8,165.8,11778.0,2室1厅,5,7,南,简装,2021,42,7.0
小区37,雨花区,81.1,83.8,10336.0,3室2厅,11,22,东南,精装,2022,40,12.0
小区8,天心区,151.1,145.9,9654.0,3室2厅,13,21,西南,精装,2003,36,9.0
小区26,长沙县,107.0,61.0,5697.0,2室1厅,8,24,南,毛坯,2012,49,7.0
小区8,开福区,108.1,99.1,9165.0,3室2厅,12,32,西南,精装,2003,44,9.0
小区34,开福区,85.5,75.3,8806.0,2室2厅,11,27,南,毛坯,2014,40,4.0
小区29,雨花区,98.5,106.1,10774.0,2室2厅,2,6,南,简装,2019,34,17.0
小区76,开福区,108.3,129.5,11955.0,3室2厅,15,29,西,简装,2014,42,8.0
小区42,岳麓区,98.0,86.6,8841.0,1室1厅,30,21,东,简装,2005,46,9.0
小区4,开福区,93.9,105.0,11185.0,2室1厅,18,24,南,简装,2019,35,8.0
小区74,岳麓区,91.2,87.0,9534.0,2室2厅,31,26,东南,简装,2003,53,9.0
小区69,长沙县,176.3,102.2,5798.0,1室1厅,22,21,东南,毛坯,2008,41,7.0
小区2,长沙县,97.8,66.5,6796.0,2室2厅,10,29,东南,简装,2009,34,8.0
小区45,开福区,131.5,158.9,12083.0,2室2厅,11,32,南,精装,2022,37,9.0
小区71,芙蓉区,107.7,122.3,11357.0,3室2厅,25,19,东,精装,2016,33,6.0
小区54,岳麓区,40.0,47.4,11847.0,3室2厅,32,33,东南,简装,2019,41,
小区36,岳麓区,214.3,153.0,7140.0,2室2厅,17,33,西南,简装,2004,33,8.0
小区75,雨花区,105.0,94.2,8975.0,4室2厅,29,28,西,简装,2014,35,
小区61,开福区,85.7,111.2,12974.0,2室1厅,28,25,西,精装,2020,34,8.0
小区8,芙蓉区,151.0,159.7,10577.0,2室2厅,3,6,西南,精装,2008,40,6.0
小区67,雨花区,157.0,154.4,9836.0,2室2厅,11,25,西南,精装,2023,41,6.0
小区27,芙蓉区,85.0,90.8,10686.0,2室2厅,29,26,西南,毛坯,2012,39,8.0
小区32,芙蓉区,75.9,108.3,14264.0,2室1厅,24,30,北,精装,2016,47,8.0
小区53,芙蓉区,74.0,79.1,10689.0,2室1厅,31,21,东,精装,2006,28,5.0
小区51,天心区,117.2,132.8,11333.0,2室1厅,21,27,东,简装,2018,37,8.0
小区53,长沙县,110.7,65.8,5946.0,3室1厅,21,20,北,简装,2010,38,14.0
小区76,芙蓉区,132.4,128.7,9724.0,1室1厅,27,24,西南,精装,2005,52,11.0
小区44,雨花区,101.0,104.5,10348.0,3室2厅,28,32,北,简装,2015,38,5.0
小区55,芙蓉区,87.1,123.8,14216.0,2室1厅,29,29,西,精装,2015,32,13.0
小区71,芙蓉区,109.2,115.4,10570.0,2室1厅,24,23,东南,,2007,38,3.0
小区60,岳麓区,85.0,109.8,12920.0,2室2厅,26,27,西,毛坯,2023,47,13.0
小区17,天心区,128.1,115.8,9039.0,3室2厅,32,28,西,简装,2006,45,9.0
小区19,岳麓区,119.6,168.6,14101.0,3室2厅,6,8,北,精装,2022,42,6.0
小区48,芙蓉区,124.5,142.4,11441.0,2室1厅,26,25,东南,简装,2012,41,9.0
小区17,长沙县,120.8,91.6,7584.0,1室1厅,27,23,南,精装,2009,45,4.0
小区46,开福区,90.3,78.9,8734.0,3室2厅,19,23,东南,毛坯,2014,42,5.0
小区35,芙蓉区,44.7,66.2,14818.0,1室1厅,13,33,东南,精装,2017,34,8.0
小区26,芙蓉区,149.4,163.3,10928.0,1室1厅,25,18,西南,精装,2004,31,4.0
小区24,望城区,143.0,76.5,5349.0,4室2厅,20,27,,毛坯,2005,39,9.0
小区46,岳麓区,79.0,78.8,9971.0,2室2厅,13,26,东南,精装,2010,55,6.0
小区75,开福区,136.5,132.2,9688.0,2室1厅,8,32,南,简装,2015,34,9.0
小区16,雨花区,110.4,78.6,7123.0,1室1厅,7,30,西,毛坯,2002,36,9.0
小区2,雨花区,102.4,116.3,11359.0,2室2厅,10,23,东南,,2015,35,7.0
小区76,雨花区,104.8,93.1,8884.0,4室2厅,30,23,西,简装,2010,49,7.0
小区44,天心区,75.9,81.2,10696.0,2室2厅,4,8,西南,精装,2006,33,3.0
小区17,望城区,100.4,66.4,6609.0,2室1厅,6,6,西南,精装,2002,35,10.0
小区12,望城区,106.8,84.6,7924.0,4室2厅,6,8,北,简装,2009,39,11.0
小区45,开福区,112.1,99.4,8863.0,2室2厅,8,27,东南,毛坯,2005,48,10.0
小区12,岳麓区,83.1,111.6,13428.0,2室1厅,14,18,东南,精装,2021,34,12.0
小区42,岳麓区,118.4,144.0,12159.0,2室2厅,30,31,北,精装,2021,35,9.0
小区12,岳麓区,84.6,89.2,10540.0,3室2厅,28,26,东,精装,2006,32,10.0
小区47,望城区,87.3,51.4,5890.0,3室2厅,29,28,西,毛坯,2013,35,9.0
小区37,开福区,107.8,90.9,8435.0,3室2厅,19,22,北,毛坯,2008,49,11.0
小区49,天心区,88.8,85.3,9601.0,1室1厅,13,26,东,毛坯,2013,39,5.0
小区64,天心区,68.8,82.6,12005.0,2室2厅,8,20,西,精装,2012,35,13.0
小区2,天心区,86.4,113.1,13094.0,1室1厅,21,26,南,精装,2021,39,9.0
小区20,开福区,80.4,70.6,8785.0,3室2厅,6,7,东,简装,2006,39,
小区25,岳麓区,109.4,118.7,10850.0,1室1厅,8,29,南,简装,2015,39,
小区34,芙蓉区,128.5,135.3,10530.0,2室2厅,20,19,南,毛坯,2012,37,8.0
小区48,雨花区,125.3,97.2,7760.0,2室1厅,21,22,东,简装,2006,50,11.0
小区4,雨花区,81.3,80.8,9935.0,2室1厅,28,31,东南,简装,2009,40,9.0
小区7,岳麓区,92.3,108.7,11779.0,3室2厅,30,28,北,简装,2018,42,7.0
小区55,芙蓉区,114.1,126.3,11072.0,3室2厅,23,32,西,简装,2011,29,10.0
小区67,岳麓区,48.1,57.4,11939.0,2室1厅,1,11,南,简装,2015,39,6.0
小区1,天心区,134.7,162.5,12067.0,3室2厅,13,21,西,,2015,32,14.0
小区73,岳麓区,147.4,149.8,10164.0,4室2厅,23,27,,简装,2008,40,8.0
小区28,天心区,128.9,171.5,13307.0,2室1厅,32,31,东南,精装,2020,44,12.0
小区37,芙蓉区,40.0,60.6,15161.0,2室2厅,7,18,东,精装,2022,40,7.0
小区66,芙蓉区,114.0,154.1,13517.0,2室2厅,17,20,南,精装,2009,43,6.0
小区23,望城区,40.0,32.7,8170.0,2室1厅,11,20,北,精装,2003,37,12.0
小区6,开福区,137.0,115.8,8451.0,3室2厅,9,28,西,精装,2013,53,8.0
小区30,开福区,40.0,48.9,12232.0,4室2厅,26,33,北,简装,2018,39,
小区33,天心区,54.9,43.2,7871.0,2室1厅,17,33,南,毛坯,2004,41,
小区21,雨花区,117.1,101.4,8663.0,2室2厅,26,24,西,毛坯,2006,42,
小区51,望城区,54.5,52.3,9597.0,2室2厅,17,33,东,,2019,28,11.0
小区58,长沙县,40.0,29.3,7325.0,3室2厅,14,26,西南,简装,2013,26,13.0
小区34,天心区,66.4,68.5,10322.0,2室2厅,24,33,东,毛坯,2010,50,11.0
小区19,芙蓉区,119.9,158.7,13233.0,2室1厅,31,24,南,简装,2021,39,
小区50,长沙县,62.9,56.5,8986.0,2室1厅,32,29,西,精装,2023,42,8.0
小区14,长沙县,65.9,47.7,7240.0,2室2厅,20,23,南,精装,2010,40,
小区70,开福区,110.5,103.2,9343.0,3室1厅,12,23,西南,简装,2018,35,4.0
小区48,长沙县,104.3,75.4,7229.0,2室1厅,10,19,,精装,2018,35,
小区46,芙蓉区,147.9,189.9,12843.0,3室1厅,9,21,西南,简装,2018,37,4.0
小区58,开福区,134.4,114.3,8506.0,2室1厅,20,33,西,简装,2004,33,4.0
小区70,雨花区,92.6,95.1,10272.0,3室2厅,14,20,西,简装,2016,44,9.0
小区77,天心区,79.4,116.9,14718.0,1室1厅,12,24,南,精装,2021,34,10.0
小区36,天心区,142.1,119.8,8433.0,3室2厅,18,19,东,毛坯,2004,44,
小区26,开福区,80.5,86.8,10784.0,1室1厅,19,21,东南,简装,2023,46,9.0
小区3,岳麓区,65.9,77.1,11695.0,2室1厅,6,7,东,精装,2020,45,8.0
小区38,开福区,120.7,143.7,11902.0,2室1厅,14,30,西,精装,2015,43,7.0
小区37,天心区,83.1,93.1,11206.0,3室1厅,18,30,东,精装,2012,43,
小区65,开福区,49.9,55.9,11200.0,2室2厅,7,31,,精装,2006,55,11.0
小区52,天心区,126.0,134.6,10683.0,2室1厅,8,18,西南,毛坯,2017,39,8.0
小区48,开福区,136.1,110.8,8144.0,2室1厅,15,29,北,毛坯,2008,40,7.0
小区52,雨花区,62.3,74.0,11884.0,3室1厅,7,25,,精装,2018,40,8.0
小区11,开福区,91.6,81.7,8915.0,2室1厅,15,25,西,精装,2003,48,7.0
小区76,开福区,87.8,68.9,7849.0,2室2厅,21,29,北,简装,2002,47,11.0
小区54,天心区,98.8,102.9,10419.0,2室2厅,29,32,西,毛坯,2009,44,8.0
小区75,芙蓉区,88.9,132.5,14900.0,3室1厅,26,28,西南,精装,2022,35,13.0
小区37,雨花区,51.7,49.0,9485.0,2室2厅,29,28,西南,简装,2011,32,5.0
小区23,长沙县,105.8,59.3,5606.0,2室2厅,21,25,北,精装,2002,28,
小区44,雨花区,93.0,122.1,13128.0,2室1厅,28,28,南,简装,2023,45,12.0
小区25,天心区,109.4,141.8,12962.0,1室1厅,31,19,东南,精装,2020,38,8.0
小区77,开福区,128.0,152.3,11898.0,2室1厅,2,7,西南,精装,2020,38,
小区5,开福区,133.4,125.7,9424.0,2室1厅,18,18,北,精装,2013,44,7.0
小区58,岳麓区,119.8,100.6,8400.0,4室2厅,3,11,,简装,2004,33,7.0
小区2,芙蓉区,40.0,58.0,14496.0,2室1厅,23,26,南,精装,2010,32,9.0
小区39,望城区,68.5,40.1,5853.0,2室1厅,8,18,西,简装,2002,52,4.0
小区62,岳麓区,107.9,113.0,10471.0,3室2厅,6,8,西南,精装,2019,36,7.0
小区48,芙蓉区,133.7,189.0,14136.0,2室2厅,32,28,南,精装,2023,47,6.0
小区74,望城区,68.7,50.2,7313.0,4室2厅,7,28,西,毛坯,2016,41,4.0
小区19,芙蓉区,77.3,78.8,10197.0,2室1厅,26,28,,简装,2007,38,7.0
小区6,天心区,165.5,176.2,10647.0,2室2厅,30,18,东南,精装,2019,40,6.0
小区3,岳麓区,40.0,49.6,12388.0,2室2厅,27,33,南,精装,2014,40,7.0
小区66,望城区,93.1,76.9,8265.0,3室2厅,17,32,西南,精装,2016,48,8.0
小区11,雨花区,81.1,79.3,9774.0,2室2厅,11,32,东南,毛坯,2018,39,6.0
小区46,雨花区,90.4,92.1,10192.0,3室2厅,15,33,西南,精装,2016,29,4.0
小区64,开福区,92.1,97.5,10586.0,2室1厅,29,21,东,精装,2006,42,5.0
小区78,雨花区,127.4,101.9,8002.0,3室2厅,4,11,南,简装,2012,36,8.0
小区1,长沙县,138.4,109.1,7886.0,2室1厅,5,9,北,,2022,33,6.0
小区55,长沙县,213.1,168.4,7902.0,3室2厅,31,31,东南,精装,2017,45,4.0
小区52,望城区,168.0,113.0,6727.0,1室1厅,29,18,东,毛坯,2020,45,10.0
小区32,开福区,103.0,101.9,9896.0,3室2厅,2,8,东,毛坯,2015,42,7.0
小区16,天心区,114.0,120.8,10598.0,3室2厅,20,31,东南,简装,2018,42,6.0
小区9,芙蓉区,142.2,150.3,10572.0,3室2厅,9,24,东,精装,2010,26,12.0
小区1,岳麓区,199.1,244.0,12254.0,3室2厅,26,20,北,精装,2017,44,7.0
小区78,雨花区,98.8,108.0,10935.0,2室2厅,11,29,,简装,2018,36,9.0
小区21,天心区,119.4,149.2,12498.0,2室1厅,8,22,东南,精装,2013,47,
小区70,雨花区,99.0,102.3,10338.0,2室2厅,2,8,东南,,2012,47,10.0
小区23,望城区,147.2,103.2,7010.0,4室2厅,30,24,东南,精装,2022,42,7.0
小区7,望城区,57.6,42.3,7346.0,2室2厅,6,9,西南,简装,2020,34,8.0
小区39,岳麓区,110.5,103.6,9373.0,2室1厅,23,23,西,毛坯,2014,36,
小区10,芙蓉区,58.8,74.1,12609.0,3室2厅,18,30,,毛坯,2016,49,12.0
小区68,长沙县,115.1,63.1,5482.0,3室1厅,9,29,东南,毛坯,2015,34,3.0
小区58,天心区,133.6,177.1,13254.0,2室1厅,26,32,西,精装,2022,35,8.0
小区34,雨花区,91.4,97.0,10609.0,2室1厅,14,27,南,精装,2015,31,11.0
小区58,长沙县,97.3,76.5,7863.0,2室2厅,8,22,北,毛坯,2021,45,13.0
小区65,长沙县,145.4,96.4,6632.0,2室1厅,30,19,西南,精装,2014,30,12.0
小区26,开福区,101.7,101.2,9952.0,3室2厅,17,30,西南,毛坯,2023,48,6.0
小区55,岳麓区,125.3,138.5,11051.0,3室2厅,28,25,西,精装,2018,40,5.0
小区8,天心区,97.0,103.3,10647.0,2室2厅,18,32,西南,精装,2009,40,8.0
小区22,望城区,72.7,54.5,7503.0,2室1厅,12,25,东,精装,2013,51,5.0
小区78,岳麓区,90.8,98.8,10879.0,3室2厅,28,22,北,精装,2018,31,10.0
小区57,岳麓区,179.2,149.7,8353.0,1室1厅,7,21,东,毛坯,2007,37,11.0
小区22,岳麓区,95.5,145.2,15205.0,3室2厅,18,25,西南,精装,2023,51,8.0
小区13,芙蓉区,107.5,117.1,10894.0,2室1厅,17,24,西,简装,2006,44,8.0
小区1,芙蓉区,147.8,211.7,14322.0,2室2厅,1,10,东,精装,2020,38,5.0
小区16,岳麓区,118.7,110.3,9294.0,1室1厅,12,22,北,毛坯,2017,37,5.0
小区18,雨花区,124.6,114.6,9198.0,4室2厅,13,24,北,简装,2006,55,5.0
小区55,岳麓区,186.3,178.6,9586.0,3室2厅,25,19,东,简装,2012,32,
小区11,芙蓉区,138.1,174.7,12653.0,2室2厅,13,32,东,精装,2013,32,7.0
小区16,岳麓区,77.4,96.6,12487.0,2室1厅,24,30,北,简装,2021,28,8.0
小区11,芙蓉区,129.7,126.7,9766.0,2室1厅,10,19,北,简装,2007,41,9.0
小区36,芙蓉区,84.9,96.3,11344.0,2室2厅,6,7,西,精装,2011,33,10.0
小区43,天心区,93.5,101.9,10894.0,2室1厅,18,30,西南,,2014,44,11.0
小区70,雨花区,143.3,149.8,10453.0,2室2厅,18,22,东,精装,2022,42,6.0
小区16,岳麓区,108.1,139.1,12865.0,2室1厅,14,32,西,精装,2020,41,9.0
小区53,芙蓉区,95.4,98.4,10319.0,2室2厅,29,30,北,简装,2008,52,12.0
小区25,开福区,85.8,99.9,11647.0,4室2厅,17,18,南,,2020,40,7.0
小区54,长沙县,110.7,68.4,6176.0,4室2厅,4,7,南,简装,2005,37,10.0
小区12,长沙县,96.1,59.3,6173.0,3室2厅,6,10,东南,简装,2005,35,10.0
小区59,长沙县,139.7,104.9,7508.0,3室2厅,13,18,北,简装,2023,27,9.0
小区72,天心区,112.7,130.9,11615.0,2室2厅,27,25,东,简装,2016,38,6.0
小区62,望城区,100.2,56.1,5601.0,3室2厅,19,32,西南,简装,2005,42,13.0
小区5,天心区,213.8,172.2,8054.0,2室2厅,27,19,西南,精装,2012,30,8.0
小区46,岳麓区,116.8,143.2,12260.0,3室2厅,19,31,东,精装,2015,37,12.0
小区72,芙蓉区,80.2,101.1,12610.0,2室2厅,20,18,东南,简装,2009,37,13.0
小区25,望城区,62.0,57.1,9215.0,1室1厅,20,30,东,精装,2018,47,9.0
小区55,芙蓉区,65.8,94.6,14371.0,3室2厅,32,20,北,精装,2016,34,8.0
小区45,开福区,57.4,47.7,8318.0,2室2厅,10,24,东南,毛坯,2004,44,8.0
小区56,天心区,102.2,88.1,8621.0,3室2厅,5,8,北,毛坯,2017,36,8.0
小区58,长沙县,104.4,61.8,5917.0,1室1厅,16,32,东,精装,2003,44,6.0
小区76,天心区,126.2,140.2,11108.0,2室2厅,2,11,北,精装,2005,37,9.0
小区9,开福区,69.8,59.4,8504.0,2室1厅,29,25,北,简装,2002,39,8.0
小区22,长沙县,88.7,67.8,7643.0,2室2厅,15,33,,精装,2020,44,9.0
小区61,开福区,84.9,97.4,11470.0,4室2厅,2,11,西南,简装,2018,40,13.0
小区46,长沙县,162.9,95.5,5863.0,4室2厅,17,28,东南,简装,2011,33,
小区64,长沙县,110.1,80.5,7313.0,2室1厅,6,10,西南,简装,2022,38,7.0
小区44,芙蓉区,120.6,136.9,11355.0,2室2厅,15,28,南,简装,2017,36,10.0
小区71,雨花区,144.2,131.1,9093.0,4室2厅,31,18,东,精装,2010,40,7.0
小区68,望城区,113.2,73.6,6504.0,4室2厅,10,28,,毛坯,2008,46,8.0
小区3,望城区,103.1,82.0,7955.0,2室1厅,16,18,西,精装,2007,42,11.0
小区41,芙蓉区,90.0,132.4,14707.0,1室1厅,15,29,西南,精装,2017,35,9.0
小区57,长沙县,94.9,68.3,7196.0,2室2厅,25,18,北,简装,2020,48,9.0
小区61,雨花区,103.8,85.3,8217.0,2室1厅,7,27,北,简装,2003,47,8.0
